Registration,ICAO,Owner,Address,City,Spotted over LA,Squawk,Callsign
N100WG,A006AF,AIRCRAFT ASSOCIATES INC,10678 AVIATION LN,MANASSAS VA,,,
N102BR,A00C4B,OTV LEASING,PO BOX 636,BRISTOW VA,,,
N119NA,A04ECF,UNITED STATES DEPARTMENT OF JUSTICE,PO BOX 807,BRISTOW VA,,,
N142LJ,A0AB21,OBR LEASING,PO BOX 725,BRISTOW VA,,,
N143GM,A0AE77,NBY PRODUCTIONS,PO BOX 502,BRISTOW VA,,,
N143GS,A0AE7C,PXW SERVICES,PO BOX 802,BRISTOW VA,,,
N168GP,A1100A,OBR LEASING,PO BOX 725,BRISTOW VA,,,
N182EM,A1488A,PXW SERVICES,PO BOX 802,BRISTOW VA,,,
N208EB,A1B021,WORLDWIDE AIRCRAFT LEASING CORP,PO BOX 807,BRISTOW VA,,,
N215KS,A1CD07,AIRCRAFT ASSOCIATES INC,10678 AVIATION LN,MANASSAS VA,,,
N223EM,A1EC96,KQM AVIATION,PO BOX 721,BRISTOW VA,,,
N223JC,A1ECF1,AIRCRAFT ASSOCIATES INC,PO BOX 2190,MANASSAS VA,,,
N232DW,A2104E,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE STE 134,GREENVILLE DE,,,
N236KS,A21FBC,WORLDWIDE AIRCRAFT LEASING CORP,110 W 9TH ST,WILMINGTON DE,,,
N239LF,A22AEF,WORLDWIDE AIRCRAFT LEASING CORP,110 W 9TH ST,WILMINGTON DE,yes,4414 4415,
N245RB,A2440B,WORLDWIDE AIRCRAFT LEASING CORP,PO BOX 807,BRISTOW VA,,,
N248CF,A24DEF,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N249DB,A251BB,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N251SR,A25CD5,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N267RH,A29A7D,PXW SERVICES,PO BOX 802,BRISTOW VA,,,
N274BB,A2B573,LCB LEASING,PO BOX 726,BRISTOW VA,,,
N288JY,A2EC92,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N290RM,A2F6FD,NG RESEARCH,PO BOX 655,BRISTOW VA,,,
N301A,A32309,WORLDWIDE AIRCRAFT LEASING CORP,110 W 9TH ST,WILMINGTON DE,yes,4414 4415,
N302MP,A327E1,KQM AVIATION,PO BOX 721,BRISTOW VA,,,
N311SB,A34C1A,NBR AVIATION,PO BOX 752,BRISTOW VA,,,
N315RR,A35AEB,AIRCRAFT ASSOCIATES INC,10678 AVIATION LN,MANASSAS VA,,,
N318SJ,A36622,OBR LEASING,PO BOX 725,BRISTOW VA,,,
N319KS,A36932,FVX RESEARCH,PO BOX 554,BRISTOW VA,,,
N323LP,A37A7D,RKT PRODUCTIONS,PO BOX 926,BRISTOW VA,,,
N324EB,A37D92,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE STE 134 PMB 605,GREENVILLE DE,,,
N324SJ,A37EC5,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE STE 134 PBM 605,GREENVILLE DE,,,
N361DB,A41050,LCB LEASING,PO BOX 726,BRISTOW VA,,,
N370JH,A4349B,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N37GR,A43218,AIRCRAFT ASSOCIATES INC,10678 AVIATION LN,MANASSAS VA,,,
N385RB,A46F56,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N404KR,A4BC6E,OBR LEASING,PO BOX 725,BRISTOW VA,yes,4414 4415,
N407TP,A4C859,AIRCRAFT ASSOCIATES INC,PO BOX 2190,MANASSAS VA,,,
N408SB,A4CBEB,AIRCRAFT ASSOCIATES INC,10678 AVIATION LN,MANASSAS VA,,,
N411CP,A4D817,KQM AVIATION,PO BOX 721,BRISTOW VA,,,
N415AT,A4E6C5,AIRCRAFT ASSOCIATES INC,PO BOX 2190,MANASSAS VA,,,
N428MT,A51A7C,NBY PRODUCTIONS,PO BOX 656,BRISTOW VA,,,
N461AJ,A59D5B,RKT PRODUCTIONS,PO BOX 615,BRISTOW VA,,,
N467TS,A5B556,PSL SURVEYS,PO BOX 756,BRISTOW VA,,,
N495BJ,A622CD,OBR LEASING,PO BOX 725,BRISTOW VA,,,
N496WW,A6286B,NATIONAL AIRCRAFT LEASING CORPORATION,4001 KENNETT PIKE # 605,GREENVILLE DE,yes,4414,
N510KS,A66261,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N514KM,A67138,OTV LEASING,PO BOX 636,BRISTOW VA,,,
N514NY,A6718E,NBR AVIATION,PO BOX 752,BRISTOW VA,,,
N515JW,A674DF,AEROGRAPHICS INC,10678 AVIATION LN,MANASSAS VA,yes,4414,
N520EP,A68960,PXW SERVICES,PO BOX 802,BRISTOW VA,,,
N527KM,A6A3DC,NG RESEARCH,PO BOX 655,BRISTOW VA,,,
N536GR,A6C75D,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N539MY,A6D306,NG RESEARCH,PO BOX 722,BRISTOW VA,,,
N557PG,A71AB8,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE STE 134,GREENVILLE DE,,,
N562CB,A72E8C,KQM AVIATION,PO BOX 721,BRISTOW VA,,,
N57165,A75568,KLJ AVIATION,PO BOX 731,BRISTOW VA,,,
N576DS,A7650F,LCB LEASING,PO BOX 726,BRISTOW VA,,,
N608SH,A7E68F,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N610AG,A7EEC5,OBR LEASING,PO BOX 725,BRISTOW VA,,,
N612BK,A7F64F,KQM AVIATION,PO BOX 721,BRISTOW VA,,,
N622FH,A81E30,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N629ET,A83822,OTV LEASING,PO BOX 831,BRISTOW VA,,,
N632MR,A8464D,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N632TK,A846DD,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N64057,A86862,NATIONAL AIRCRAFT LEASING CORP,PMB 605,GREENVILLE DE,,,
N657TP,A8A872,PXW SERVICES,PO BOX 802,BRISTOW VA,yes,4414 4415,
N721AL,A9A74E,US DEPT OF JUSTICE,PO BOX 807,BRISTOW VA,,,
N728MP,A9C265,NATIONAL AIRCRAFT LEASING CORPORATION,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N731CL,A9CEFF,NBY PRODUCTIONS,PO BOX 656,BRISTOW VA,,,
N806TH,AAF9D8,FVX RESEARCH,PO BOX 632,BRISTOW VA,,,
N811AH,AB0D1B,OTV LEASING,PO BOX 831,BRISTOW VA,,,
N813JH,AB1551,KQM AVIATION,PO BOX 721,BRISTOW VA,,,
N8210G,AB36F1,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N8211P,AB371B,WORLDWIDE AIRCRAFT LEASING CORP,110 W 9TH ST # 634,WILMINGTON DE,,,
N831EM,AB5C81,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE STE 134,GREENVILLE DE,yes,4414 4415,JENNA013
N83700,AB74CC,AIRCRAFT ASSOCIATES INC,10678 AVIATION LN,MANASSAS VA,,,
N83713,AB74F2,AIRCRAFT ASSOCIATES INC,PO BOX 2190,MANASSAS VA,,,
N874TW,AC06F0,UNITED STATES DEPARTMENT OF JUSTICE,PO BOX 807,BRISTOW VA,,,
N879WM,AC19C5,PSL SURVEYS,PO BOX 756,BRISTOW VA,,,
N906TM,AC872B,RKT PRODUCTIONS,PO BOX 615,BRISTOW VA,,,
N907WK,AC8B2B,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N910LF,AC97AB,NBY PRODUCTIONS,PO BOX 502,BRISTOW VA,,,
N912EX,AC9E93,OBR LEASING,PO BOX 725,BRISTOW VA,,,
N913JC,ACA29B,RKT PRODUCTIONS,PO BOX 615,BRISTOW VA,,,
N916WR,ACAEF9,PSL SURVEYS,PO BOX 756,BRISTOW VA,,,
N921LS,ACC2EC,NG RESEARCH,PO BOX 722,BRISTOW VA,,,
N922MK,ACC6B5,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N949RL,AD3019,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE #605,GREENVILLE DE,,,
N9546T,AD46BF,AEROGRAPHICS INC,5979 17TH STREET SE,ST CLOUD MN,,,
N956D,AD4B3C,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE STE 134,GREENVILLE DE,yes,4414,
N959JT,AD56F0,PSL SURVEYS,PO BOX 756,BRISTOW VA,,,
N962JB,AD645E,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N962PB,AD64DB,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N964JR,AD6BDA,FVX RESEARCH,PO BOX 632,BRISTOW VA,,,
N969PL,AD7EE5,WORLDWIDE AIRCRAFT LEASING CORP,110 W 9TH ST,WILMINGTON DE,,,
N971N,AD8888,WORLDWIDE AIRCRAFT LEASING CORP,110 W 9TH ST,WILMINGTON DE,,,
N972SM,AD8CAF,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE # 605,GREENVILLE DE,,,
N981GT,ADAF83,NORTHWEST AIRCRAFT LEASING CORP,PO BOX 807,BRISTOW VA,,,
N981MR,ADAFFE,NBY PRODUCTIONS,PO BOX 502,BRISTOW VA,,,
N984JS,ADBAD9,FVX RESEARCH,PO BOX 632,BRISTOW VA,,,
N986DK,ADC1C3,NBR AVIATION,PO BOX 752,BRISTOW VA,,,
N986MT,ADC293,OTV LEASING,PO BOX 636,BRISTOW VA,,,
N986W,ADC362,NATIONAL AIRCRAFT LEASING CORP,4001 KENNETT PIKE STE 134,GREENVILLE DE,,,